Name,Ticker,Pricing Source,Security Type,Market Sector,BBGID,BBGID Composite,BSID,Unique ID
MEDCOM TECH SA,MED,SQ,Common Stock,Equity,BBG000QKH524,BBG000QKH2R4,2044420339780,EQ0000000010008277
BANCA CIVICA SA,3576623Z,SQ,Common Stock,Equity,BBG001M4B591,BBG000QLT583,2044425547102,EQ0000000010043203
AMADEUS IT HOLDING SA-A SHS,AMS,SQ,Common Stock,Equity,BBG000QSDZF1,BBG000QSDXN7,2044420704311,EQ0000000010192938
NEGOCIO & ESTILO DE VIDA SA,NEG,SQ,Common Stock,Equity,BBG000QVSGN1,BBG000QVSD21,2044420892345,EQ0000000010247719
NEURON BIOPHARMA SA,NEU,SQ,Common Stock,Equity,BBG000R3JC88,BBG000R3J976,2044421696527,EQ0000000010511382
BODACLICK SA,BDK,SQ,Common Stock,Equity,BBG000R3K466,BBG000R3K279,2044421697231,EQ0000000010513374
AB-BIOTICS SA,ABB,SQ,Common Stock,Equity,BBG000BDW9T2,BBG000BDW7B5,2044422103085,EQ0000000010633147
ENEL GREEN POWER SPA,EGPW,SQ,Common Stock,Equity,BBG0017VPYH1,BBG0017VPYB7,2044423164748,EQ0000000011487440
GRUPO NOSTRUM RNL S.A.,NOS,SQ,Common Stock,Equity,BBG0018Q53H1,BBG0018Q53B7,2044423369728,EQ0000000011979479
PROMOTORA DE INFORMACIONES-B,PRS/P,SQ,Common Stock,Equity,BBG0019VZKP9,BBG0019P4SN1,2044423707952,EQ0000000012231427
ALTIA CONSULTORES SA,ALC,SQ,Common Stock,Equity,BBG0019R2HD4,BBG0019R2H71,2044423665292,EQ0000000012243230
EURONA WIRELESS TELECOM SA,EWT,SQ,Common Stock,Equity,BBG001BD5FL4,BBG001BD5FF1,2044423803128,EQ0000000013279133
INTL CONSOLIDATED AIRLINES,IAG,SQ,Common Stock,Equity,BBG001DNWP65,BBG001DNWP10,2044424311046,EQ0000000016607561
CANAL DE ISABEL II,8147536Z,SQ,Common Stock,Equity,BBG001FDG807,BBG001FDG7V5,2044424498843,EQ0000000016659744
APERAM,APAM,SQ,Common Stock,Equity,BBG001HP9QF0,BBG001HP9Q88,2044424555309,EQ0000000016700348
EUROESPES SA,EEP,SQ,Common Stock,Equity,BBG001J2P2J0,BBG001J2P2C7,2044424682415,EQ0000000016776858
GRUPO DE INV SURAMERICANA,XGSUR,SQ,Common Stock,Equity,BBG001K3TPP4,BBG001K3TPJ1,2044424914684,EQ0000000016853896
ATENTO INVERSIONES Y TELESER,8215667Z,SQ,Common Stock,Equity,BBG001KQXCY7,BBG001KQXCQ6,2044425147655,EQ0000000016975555
BANCO BILBAO VIZCAYA ARGENTA,BBVA,SQ,Common Stock,Equity,BBG000H90V11,BBG000H90QG6,2044405022664,EQ0010015500001000
BANCO SANTANDER SA,SAN,SQ,Common Stock,Equity,BBG000K65LJ1,BBG000K65GY5,2044405067456,EQ0010015800001000
ENDESA SA,ELE,SQ,Common Stock,Equity,BBG000C1Q6X5,BBG000C1Q594,2044404952935,EQ0010051700001000
REPSOL YPF SA,REP,SQ,Common Stock,Equity,BBG000C2V8Q1,BBG000C2V6W8,2044404954564,EQ0010125400001000
TELEFONOS DE MEXICO SAB-L,XTMXL,SQ,Common Stock,Equity,BBG000HJVX48,BBG000HJTRJ8,2044405026722,EQ0010144900002002
TELEFONICA SA,TEF,SQ,Common Stock,Equity,BBG000C204X6,BBG000C20331,2044404953370,EQ0010145000001000
BAYER AG-REG,BAY,SQ,Common Stock,Equity,BBG000BG4GK9,BBG000BG4DQ0,2044404961541,EQ0011567900001011
BANCO POPULAR ESPANOL,POP,SQ,Common Stock,Equity,BBG000BBXYC8,BBG000BBXWR6,2044404952816,EQ0011571200001000
IBERDROLA SA,IBE,SQ,Common Stock,Equity,BBG000BC4FP5,BBG000BC49N1,2044404953053,EQ0011572400001000
SACYR VALLEHERMOSO SA,SYV,SQ,Common Stock,Equity,BBG000BCGW39,BBG000BCGSR2,2044404953417,EQ0011575900001000
CONSTRUCC Y AUX DE FERROCARR,CAF,SQ,Common Stock,Equity,BBG000BDR534,BBG000BDR2H6,2044404958704,EQ0011739300001000
ACCIONA SA,ANA,SQ,Common Stock,Equity,BBG000BMJFV0,BBG000BMJCK9,2044404993357,EQ0011740600001000
FOMENTO DE CONSTRUC Y CONTRA,FCC,SQ,Common Stock,Equity,BBG000BBZ5X6,BBG000BBZ3Z9,2044404952922,EQ0011750800001000
ACS ACTIVIDADES CONS Y SERV,ACS,SQ,Common Stock,Equity,BBG000BMW592,BBG000BMW3R7,2044404997853,EQ0011782500001000
RENO DE MEDICI SPA,RDM,SQ,Common Stock,Equity,BBG000BMWZX9,BBG000BMWY99,2044404998140,EQ0011791300001001
UNIPAPEL SA,UPL,SQ,Common Stock,Equity,BBG000BF3XV3,BBG000BF3VL8,2044404959577,EQ0011812900001000
CAMPOFRIO FOOD GROUP SA,CFG,SQ,Common Stock,Equity,BBG000BD75Q1,BBG000BD7180,2044404957085,EQ0011900800001000
CIA ESPANOLA DE PETROLEOS SA,CEP,SQ,Common Stock,Equity,BBG000BBX3Q1,BBG000BBX0W0,2044404952851,EQ0011900900001000
GRUPO EMPRESARIAL ENCE SA,ENC,SQ,Common Stock,Equity,BBG000BG5Y74,BBG000BG5TK0,2044405862015,EQ0011913100001000
GRUPO EZENTIS SA,EZE,SQ,Common Stock,Equity,BBG000BRS382,BBG000BRRZQ2,2044405043752,EQ0011914400001000
ZARDOYA OTIS SA,ZOT,SQ,Common Stock,Equity,BBG000BCF0C0,BBG000BCDYD7,2044404953438,EQ0011914800001000
BBVA BANCO FRANCES SA,XBFR,SQ,Common Stock,Equity,BBG000BSTVN0,BBG000BSTSV8,2044405019751,EQ0012651900001004
ACERINOX SA,ACX,SQ,Common Stock,Equity,BBG000BB82S9,BBG000BB7ZC4,2044404948201,EQ0012700500002000
AZKOYEN SA,AZK,SQ,Common Stock,Equity,BBG000BF10P4,BBG000BF0YV4,2044404957083,EQ0012702200001000
GRUPO TAVEX SA,TVX,SQ,Common Stock,Equity,BBG000BFZJH5,BBG000BFZFK9,2044404959555,EQ0012700900001000
AMPER SA,AMP,SQ,Common Stock,Equity,BBG000BBFRH8,BBG000BBFPC7,2044404949324,EQ0012701200001000
ABERTIS INFRAESTRUCTURAS SA,ABE,SQ,Common Stock,Equity,BBG000BH0K95,BBG000BH0HG4,2044404962393,EQ0012702000002000
BANKINTER SA,BKT,SQ,Common Stock,Equity,BBG000BCN3R9,BBG000BCN0T3,2044404952801,EQ0012703900001000
BANCO DE VALENCIA SA,BVA,SQ,Common Stock,Equity,BBG000BF6Q09,BBG000BF6KZ4,2044404957601,EQ0012703100002000
BANCO ESP CREDITO (BANESTO),BTO,SQ,Common Stock,Equity,BBG000BCMYJ1,BBG000BCMW41,2044404952794,EQ0012703500001000
CEMENTOS PORTLANDVALDERRIVAS,CPL,SQ,Common Stock,Equity,BBG000BR0BJ2,BBG000BR0863,2044404998880,EQ0012705800001000
BANCO PASTOR,PAS,SQ,Common Stock,Equity,BBG000BCR1W3,BBG000BCQXZ1,2044404953242,EQ0012704000001000
MONTEBALITO SA,MTB,SQ,Common Stock,Equity,BBG000BD12Z4,BBG000BD10Y9,2044405862012,EQ0012705200001000
NH HOTELES SA,NHH,SQ,Common Stock,Equity,BBG000BQHJD5,BBG000BQHGF9,2044404994722,EQ0012707600001000
INDRA SISTEMAS SA,IDR,SQ,Common Stock,Equity,BBG000BN75M3,BBG000BN71Y9,2044404976588,EQ0012706100001000
MAPFRE SA,MAP,SQ,Common Stock,Equity,BBG000BCQ582,BBG000BCQ2W2,2044404953142,EQ0012707900001000
CIA GENERAL DE INVERSIONES,CGI,SQ,Common Stock,Equity,BBG000BGJ3T3,BBG000BGJ0C7,2044404961546,EQ0012706400001000
CLEOP-CIA LEVANTINA EDF,CLEO,SQ,Common Stock,Equity,BBG000BH1T04,BBG000BH1QG3,2044404962441,EQ0012706800001000
CORPORACION FINANCIERA ALBA,ALB,SQ,Common Stock,Equity,BBG000BDZ385,BBG000BDZ0K7,2044404956945,EQ0012707800001000
ELECNOR  SA,ENO,SQ,Common Stock,Equity,BBG000BSP0L4,BBG000BSNY78,2044405017855,EQ0012708600001000
ERCROS SA,ECR,SQ,Common Stock,Equity,BBG000BD47J8,BBG000BD4584,2044404954723,EQ0012708800001000
TUBACEX SA,TUB,SQ,Common Stock,Equity,BBG000BCRVF6,BBG000BCRSB7,2044404953383,EQ0012709300001000
INDO INTERNACIONAL SA,IDO,SQ,Common Stock,Equity,BBG000BPQL60,BBG000BPQJ92,2044404986578,EQ0012712100001000
FAES FARMA SA,FAE,SQ,Common Stock,Equity,BBG000BH15J6,BBG000BH1392,2044405862016,EQ0012710100001000
GAS NATURAL SDG SA,GAS,SQ,Common Stock,Equity,BBG000BWYLW7,BBG000BWYKD0,2044405052377,EQ0012711100001000
INMOBILIARIA COLONIAL SA,COL,SQ,Common Stock,Equity,BBG000BR87D9,BBG000BR8552,2044405001147,EQ0012711500001000
SERVICE POINT SOLUTIONS SA,SPS,SQ,Common Stock,Equity,BBG000C01XY4,BBG000C01VM1,2044405081150,EQ0012711600001000
NYESA VALORES CORPORACION SA,NYE,SQ,Common Stock,Equity,BBG000BF15W5,BBG000BF13X9,2044405862013,EQ0012712200001000
INFORMES Y PROYECTOS SA,INY,SQ,Common Stock,Equity,BBG000BHRL85,BBG000BHRHG5,2044404963748,EQ0012712400001000
METROVACESA SA,MVC,SQ,Common Stock,Equity,BBG000BCNTG4,BBG000BCNRW0,2044404952864,EQ0012712500001000
INMOBILIARIA DEL SUR SA,ISUR,SQ,Common Stock,Equity,BBG000BH1CJ1,BBG000BH18T9,2044404962431,EQ0012712700001000
LA SEDA DE BARCELONA-B,SED,SQ,Common Stock,Equity,BBG000BCSRS0,BBG000BCSNV5,2044404953477,EQ0012713800001000
PROSEGUR COMP SEGURIDAD-REGD,PSG,SQ,Common Stock,Equity,BBG000BCXK09,BBG000BCXH60,2044404953867,EQ0012716800002000
LINGOTES ESPECIALES S.A.,LGT,SQ,Common Stock,Equity,BBG000BPVXC1,BBG000BPVTB1,2044404987490,EQ0012714300001000
NICOLAS CORREA SA,NEA,SQ,Common Stock,Equity,BBG000BGP227,BBG000BGP058,2044405862014,EQ0012715500001000
OBRASCON HUARTE LAIN S.A.,OHL,SQ,Common Stock,Equity,BBG000BPMN79,BBG000BPMLL7,2044404986065,EQ0012716000001000
PRIM SA,PRM,SQ,Common Stock,Equity,BBG000BH24V4,BBG000BH22J2,2044404962446,EQ0012716600001000
TESTA INMUEBLES EN RENTA SA,TST,SQ,Common Stock,Equity,BBG000BVYHK1,BBG000BVYFF1,2044405041327,EQ0012716700001000
SNIACE-SOC NAC IND APLIC CEL,SNC,SQ,Common Stock,Equity,BBG000BCRLT3,BBG000BCRHJ3,2044405862011,EQ0012717900001000
SNIACE-SOC NAC IND APLIC-NEW,SNC/N,SQ,Common Stock,Equity,BBG000BR9061,BBG000BR8Y04,2044405001372,EQ0012717900029000
SOTOGRANDE SA,STG,SQ,Common Stock,Equity,BBG000BBRL33,BBG000BBRJ38,2044405862010,EQ0012718100001000
URALITA SA,URA,SQ,Common Stock,Equity,BBG000BCS1L4,BBG000BCRX80,2044404953397,EQ0012719100001000
VIDRALA SA,VID,SQ,Common Stock,Equity,BBG000BF1C50,BBG000BF17Q8,2044404957094,EQ0012719400001000
VISCOFAN SA,VIS,SQ,Common Stock,Equity,BBG000BCS777,BBG000BCS4S1,2044404953413,EQ0012719600001000
ZELTIA SA,ZEL,SQ,Common Stock,Equity,BBG000BH2PL8,BBG000BH2LP3,2044404962452,EQ0012719800001000
URBAS GUADAHERMOSA SA,UBS,SQ,Common Stock,Equity,BBG000BBJ5C7,BBG000BBJ314,2044405862009,EQ0012719200001000
CENTRAIS ELETRICAS BRASILIER,XELTO,SQ,Common Stock,Equity,BBG000BT5V36,BBG000BT5SP9,2044405036597,EQ0013611000001002
ESPANOLA DEL ZINC SA,ZNC,SQ,Common Stock,Equity,BBG000BCNMH8,BBG000BCNHP0,2044404948256,EQ0015169200001000
CIE AUTOMOTIVE SA,CIE,SQ,Common Stock,Equity,BBG000PM2698,BBG000PM21L5,2044405081146,EQ0015323500001000
VOLCAN CIA MINERA SAA-CMN B,XVOLB,SQ,Common Stock,Equity,BBG000MXC268,BBG000MXBZ75,2044405040120,EQ0015431400003001
TECNOCOM TELECOM Y ENERGIA,TEC,SQ,Common Stock,Equity,BBG000LK4HS9,BBG000LK4CQ2,2044405022956,EQ0015626900001000
NATRA SA,NAT,SQ,Common Stock,Equity,BBG000BTDLF6,BBG000BTDJ70,2044404962444,EQ0016241000001000
DURO FELGUERA SA,MDF,SQ,Common Stock,Equity,BBG000BHD5Z5,BBG000BHD3Z0,2044404953149,EQ0016240900001000
PESCANOVA SA,PVA,SQ,Common Stock,Equity,BBG000HZQ709,BBG000HZQ3L5,2044404987854,EQ0016241200001000
SOS CORPORACION ALIMENTARIA,SOS,SQ,Common Stock,Equity,BBG000JXQBX7,BBG000JXQ7N7,2044405001396,EQ0017697200001000
BANCO SANTANDER RIO-B,XBRSB,SQ,Common Stock,Equity,BBG000LC00C5,BBG000LBZX19,2044405019753,EQ0018681100001004
SOL MELIA SA,SOL,SQ,Common Stock,Equity,BBG000GZ0MJ5,BBG000GZ0GF2,2044404983351,EQ0019128500001000
MIQUEL Y COSTAS,MCM,SQ,Common Stock,Equity,BBG000HRCQ19,BBG000HRCK21,2044404986095,EQ0019136600001000
ABENGOA SA,ABG,SQ,Common Stock,Equity,BBG000BM28Z0,BBG000BM2666,2044404986075,EQ0020311100001000
GRUPO CATALANA OCCIDENTE SA,GCO,SQ,Common Stock,Equity,BBG000BQMBY3,BBG000BQM8C4,2044404988458,EQ0021548500001000
TUBOS REUNIDOS SA,TRG,SQ,Common Stock,Equity,BBG000BQYKF1,BBG000BQYJ64,2044404988678,EQ0021569500003000
ADOLFO DOMINGUEZ,ADZ,SQ,Common Stock,Equity,BBG000BRFFX1,BBG000BRFD84,2044404989117,EQ0021589800001000
RED ELECTRICA CORPORACION SA,REE,SQ,Common Stock,Equity,BBG000C2V4T7,BBG000C2V319,2044405007744,EQ0021748400001000
JAZZTEL PLC,JAZ,SQ,Common Stock,Equity,BBG000CPGHL2,BBG000CPGFC6,2044405042904,EQ0022789000001003
BARON DE LEY,BDL,SQ,Common Stock,Equity,BBG000BXLPM1,BBG000BXLLP7,2044404994965,EQ0023340000001000
BANCO DE SABADELL SA,SAB,SQ,Common Stock,Equity,BBG000BC17H5,BBG000BC1543,2044404953508,EQ0023361200001000
BODEGAS RIOJANAS SA,RIO,SQ,Common Stock,Equity,BBG000BZN8C3,BBG000BZN398,2044404996812,EQ0023395100001000
INDITEX,ITX,SQ,Common Stock,Equity,BBG000C1W8H2,BBG000C1W6R5,2044405003379,EQ0023395400001000
CIA VINICOLA DEL NORTE DE ES,CUN,SQ,Common Stock,Equity,BBG000BXNBQ6,BBG000BXN838,2044404995016,EQ0023910300001000
GESTEVISION TELECINCO SA,TL5,SQ,Common Stock,Equity,BBG000BXH5J4,BBG000BXH3S9,2044404998200,EQ0030527800001000
IBERPAPEL GESTION SA,IBG,SQ,Common Stock,Equity,BBG000BX6YT2,BBG000BX6WM3,2044404997941,EQ0030757600001000
DOGI INTERNATIONAL FABRICS,DGI,SQ,Common Stock,Equity,BBG000BYKCT2,BBG000BYK5F2,2044404998742,EQ0030758100001000
DINAMIA CAPITAL PRIVADO,DIN,SQ,Common Stock,Equity,BBG000BMFLY8,BBG000BMFJK8,2044404980200,EQ0030767500001000
RENTA 4 SA,R4,SQ,Common Stock,Equity,BBG000BYSK34,BBG000BYSFW3,2044405964753,EQ0031332700001000
BEFESA MEDIO AMBIENTE S.A.,BMA,SQ,Common Stock,Equity,BBG000BPXTS1,BBG000BPXRM1,2044404986372,EQ0032835400001000
PAPELES Y CARTONES DE EUROPA,PAC,SQ,Common Stock,Equity,BBG000BQY0D7,BBG000BQXX19,2044404987839,EQ0032838000001000
FUNESPANA SA,FUN,SQ,Common Stock,Equity,BBG000CJS708,BBG000CJR3H0,2044405003516,EQ0032879500001000
EBRO FOODS SA,EBRO,SQ,Common Stock,Equity,BBG000FNC1R7,BBG000FNBYB3,2044405046217,EQ0033033800001000
CAJA DE AHORROS DEL MEDITERR,CAM,SQ,Common Stock,Equity,BBG000BH92V1,BBG000BH91D3,2044405969894,EQ0035932600001000
EADS NV,EAD,SQ,Common Stock,Equity,BBG000CSHGT9,BBG000CSGB11,2044405031259,EQ0087628500001002
IMPSAT FIBER NETWORKS INC,XIMPT,SQ,Common Stock,Equity,BBG000DK1KL1,BBG000DK1HD7,2044405050980,EQ0092647600001002
PROMOTORA DE INFORMACIONES-A,PRS,SQ,Common Stock,Equity,BBG000BYR8R6,BBG000BYR4L1,2044405031171,EQ0119730500001000
BIOSEARCH SA,BIO,SQ,Common Stock,Equity,BBG000DQX3T3,BBG000DQX1C5,2044405070106,EQ0119760800001000
ENAGAS SA,ENG,SQ,Common Stock,Equity,BBG000BD5F27,BBG000BD5B99,2044404969210,EQ0119782400001000
BRADESPAR SA,XBRPO,SQ,Common Stock,Equity,BBG000DFQRQ5,BBG000DFQP61,2044405057909,EQ0141459000001002
GAMESA CORP TECNOLOGICA SA,GAM,SQ,Common Stock,Equity,BBG000BH2ZK7,BBG000BH2X22,2044404988457,EQ0172501600001000
AMERICA MOVIL SAB DE C-SER L,XAMXL,SQ,Common Stock,Equity,BBG000CZZTB4,BBG000CZZR55,2044405045888,EQ0174581600001002
TECNICAS REUNIDAS SA,TRE,SQ,Common Stock,Equity,BBG000GB7DX5,BBG000GB7900,2044405046677,EQ0724416900001000
FERGO AISA SA,AISA,SQ,Common Stock,Equity,BBG000JLQVG8,BBG000JLQS84,2044405057753,EQ0736022500001000
FERROVIAL SA,FER,SQ,Common Stock,Equity,BBG000BZG4D9,BBG000BZG270,2044405016869,EQ0742382900001000
ATLANTIC COAST FINANCIAL COR,ACFC,UL,Common Stock,Equity,BBG000BP2GL0,BBG000BP23H4,30065333006,EQ0000000000045395
AMERICAN SPECTRUM REALTY INC,AQQ,UL,Common Stock,Equity,BBG000BTKC04,BBG000BTK313,30065365610,EQ0000000000046649
MANTECH INTERNATIONAL CORP-A,MANT,UL,Common Stock,Equity,BBG000BGFNW9,BBG000BGF8B5,30065323493,EQ0000000000050686
SEVERN BANCORP INC/MD,SVBI,UL,Common Stock,Equity,BBG000DHW644,BBG000DHTVJ7,30065378277,EQ0000000000057429
FIVE STAR QUALITY CARE,FVE,UL,Common Stock,Equity,BBG000BJS013,BBG000BJRQT7,30065340913,EQ0000000000059456
MOLYCORP INC,MCP,UL,Common Stock,Equity,BBG000LBJ6Z9,BBG000LBGTS0,30065407454,EQ0000000000062696
UNILIFE CORP,UNIS,UL,Common Stock,Equity,BBG000P74TN3,BBG000P73KS8,30065407624,EQ0000000000063859
SRA INTERNATIONAL INC-CL A,SRX,UL,Common Stock,Equity,BBG000BBFDG0,BBG000BBF3D5,30065287065,EQ0000000000066212
MEDASSETS INC,MDAS,UL,Common Stock,Equity,BBG000LK7Y27,BBG000LK6M60,30066301617,EQ0000000000074951
AVALON RARE METALS INC,AVL,UL,Common Stock,Equity,BBG000K7ZVP7,BBG000K7ZHS5,30065409375,EQ0000000000079335
JAGUAR MINING INC,JAG,UL,Common Stock,Equity,BBG000BZ6Q32,BBG000BZ6GF1,30065409418,EQ0000000000079780
CLAUDE RESOURCES INC,CGR,UL,Common Stock,Equity,BBG000C02NM8,BBG000C02F63,30065409457,EQ0000000000079984
AURIZON MINES LTD,AZK,UL,Common Stock,Equity,BBG000HYD5R1,BBG000HYCTF3,30065372772,EQ0000000000081350
ANOORAQ RESOURCES CORP,ANO,UL,Common Stock,Equity,BBG000BYJK43,BBG000BYJ9F6,30065287824,EQ0000000000081434
ALMADEN MINERALS LTD,AAU,UL,Common Stock,Equity,BBG000DGH3B2,BBG000DGFSY4,30065309226,EQ0000000000083289
CUTERA INC,CUTR,UL,Common Stock,Equity,BBG000BBS3R6,BBG000BBRVR5,30065290513,EQ0000000000083562
KOBEX MINERALS INC,KXM,UL,Common Stock,Equity,BBG000K9SMR9,BBG000K9S7L8,30065409739,EQ0000000000085658
HYATT HOTELS CORP - CL A,H,UL,Common Stock,Equity,BBG000CVSR61,BBG000CVRFS4,30066521628,EQ0000000000085694
MINCO GOLD CORP,MGH,UL,Common Stock,Equity,BBG000BRLTS0,BBG000BRLKM5,30065371919,EQ0000000000086398
MICROMET INC,MITI,UL,Common Stock,Equity,BBG000BDC5M9,BBG000BDBTS2,30065297588,EQ0000000000087098
ENDEAVOUR SILVER CORP,EXK,UL,Common Stock,Equity,BBG000K2KWH1,BBG000K2HB18,30065402244,EQ0000000000087554
NEVSUN RESOURCES LTD,NSU,UL,Common Stock,Equity,BBG000KBCGQ5,BBG000KBC598,30065409908,EQ0000000000088711
KEARNY FINANCIAL CORP,KRNY,UL,Common Stock,Equity,BBG000BS2YF2,BBG000BS2P07,30065338551,EQ0000000000089242
WESTPORT INNOVATIONS INC,WPRT,UL,Common Stock,Equity,BBG000P9FFQ4,BBG000P9D329,30065410006,EQ0000000000089656
SXC HEALTH SOLUTIONS CORP,SXCI,UL,Common Stock,Equity,BBG000KBRG07,BBG000KBQZ88,30065410016,EQ0000000000089696
